	Id	Part2B	Part2T	Part1	Ref_Name
261	amw				Western Neo-Aramaic
262	amx				Anmatyerre
263	amy				Ami
264	amz				Atampaya
265	ana				Andaqui
266	anb				Andoa
267	anc				Ngas
268	and				Ansus
269	ane				Xârâcùù
270	anf				Animere
271	ang	ang	ang		Old English (ca. 450-1100)
272	anh				Nend
273	ani				Andi
274	anj				Anor
275	ank				Goemai
276	anl				Anu-Hkongso Chin
277	anm				Anal
278	ann				Obolo
279	ano				Andoque
280	anp	anp	anp		Angika
281	anq				Jarawa (India)
282	anr				Andh
283	ans				Anserma
284	ant				Antakarinya
285	anu				Anuak
286	anv				Denya
287	anw				Anaang
288	anx				Andra-Hus
289	any				Anyin
290	anz				Anem
291	aoa				Angolar
292	aob				Abom
293	aoc				Pemon
294	aod				Andarum
295	aoe				Angal Enen
296	aof				Bragat
297	aog				Angoram
298	aoi				Anindilyakwa
299	aoj				Mufian
300	aok				Arhö
301	aol				Alor
302	aom				Ömie
303	aon				Bumbita Arapesh
304	aor				Aore
305	aos				Taikat
306	aot				Atong (India)
307	aou				A'ou
308	aox				Atorada
309	aoz				Uab Meto
310	apb				Sa'a
311	apc				North Levantine Arabic
312	apd				Sudanese Arabic
313	ape				Bukiyip
314	apf				Pahanan Agta
315	apg				Ampanang
316	aph				Athpariya
317	api				Apiaká
318	apj				Jicarilla Apache
319	apk				Kiowa Apache
320	apl				Lipan Apache
321	apm				Mescalero-Chiricahua Apache
322	apn				Apinayé
323	apo				Ambul
324	app				Apma
325	apq				A-Pucikwar
326	apr				Arop-Lokep
327	aps				Arop-Sissano
328	apt				Apatani
329	apu				Apurinã
330	apv				Alapmunte
331	apw				Western Apache
332	apx				Aputai
333	apy				Apalaí
334	apz				Safeyoka
335	aqc				Archi
336	aqd				Ampari Dogon
337	aqg				Arigidi
338	aqm				Atohwaim
339	aqn				Northern Alta
340	aqp				Atakapa
341	aqr				Arhâ
342	aqt				Angaité
343	aqz				Akuntsu
344	ara	ara	ara	ar	Arabic
345	arb				Standard Arabic
346	arc	arc	arc		Official Aramaic (700-300 BCE)
347	ard				Arabana
348	are				Western Arrarnta
349	arg	arg	arg	an	Aragonese
350	arh				Arhuaco
351	ari				Arikara
352	arj				Arapaso
353	ark				Arikapú
354	arl				Arabela
355	arn	arn	arn		Mapudungun
356	aro				Araona
357	arp	arp	arp		Arapaho
358	arq				Algerian Arabic
359	arr				Karo (Brazil)
360	ars				Najdi Arabic
361	aru				Aruá (Amazonas State)
362	arv				Arbore
363	arw	arw	arw		Arawak
364	arx				Aruá (Rodonia State)
365	ary				Moroccan Arabic
366	arz				Egyptian Arabic
367	asa				Asu (Tanzania)
368	asb				Assiniboine
369	asc				Casuarina Coast Asmat
370	ase				American Sign Language
371	asf				Auslan
372	asg				Cishingini
373	ash				Abishira
374	asi				Buruwai
375	asj				Sari
376	ask				Ashkun
377	asl				Asilulu
378	asm	asm	asm	as	Assamese
379	asn				Xingú Asuriní
380	aso				Dano
381	asp				Algerian Sign Language
382	asq				Austrian Sign Language
